Company Name,Owner Name,Website,Products,Address,City,Country,Lead Source,Member Of,Category,first name,last name,designation,email,mobile,landline,ext
8cTech,Naveed Javed,www.8cTech.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,7cTech,"Networking, software development, graphic designing",Naveed,Jawed,Owner,naveed@gmail.com,"12345, 54321, 12345",54321,99
8cTech,Naveed Javed,www.8cTech.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,7cTech,"Networking, software development, graphic designing",Ubaid,Nizami,PM,ubaid@gmail.com,"54321, 12345, 54321",12345,88
8cTech,Naveed Javed,www.8cTech.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,7cTech,"Networking, software development, graphic designing",Mohi,Uddin,Lead Dev,mohi@gmail.com,12345,54321,0
logicals,Abid Shah,www.logicals.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,logicals,Digital Marketing,Abid,Shah,Owner,abid@gmail.com,12345,"54321,12345,54321",77
logicals,Abid Shah,www.logicals.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,logicals,Digital Marketing,Safar,Laghari,PM,safar@gmail.com,12345,54321,69
logitech,Kamran Shahid,www.logitech.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,logitech,tele marketing,Kamran,Shahid,Owner,shahid@gmail.com,12345,54321,77
10Peral,Khurram,www.10Peral.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,10Peral,"Networking, software development, graphic designing",Khurram,Zaidi,Owner,khurram@gmail.com,"54321, 12345, 54321",12345,88
10Peral,Khurram,www.10Peral.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,10Peral,"Networking, software development, graphic designing",Shafa,Zaidi,GM,shafa@gmail.com,"54321, 12345, 54321",12345,88
10Peral,Khurram,www.10Peral.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,10Peral,"Networking, software development, graphic designing",Aaqif,Zaidi,Market Lead,aaqif@gmail.com,54321,12345,"88,99,00"
Systems,Faheem,www.Systems.com,Software Services,Shahra-e-Faisal,Karachi,Pakistan,Abdullah,Systems,"Networking, software development, graphic designing",Faheem,Raza,Owner,Systems@gmail.com,54321,"12345,54321",99
